phrase,token_length,n_prompts,elm_average_score,elm_percentile,elm_percentile_bin,linear_average_score,linear_percentile,linear_percentile_bin
anus,3,398,952.335665257133,0.643366085072694,2,1779.68471875981,0.642390283718846,2
hands on hips,5,150,952.315436808268,0.643323125264663,2,1736.90410400391,0.573930761063685,2
sweatdrop,4,88,952.312283255837,0.64331698814923,2,1822.0466780229,0.703301154391413,2
perfect nipples,4,75,952.284032796224,0.643243342764034,2,1748.40809895833,0.592335970247264,2
depth field,4,77,952.243911544998,0.643120600455374,2,1732.0652806666,0.565829768692119,2
wet clothes,4,196,951.888779620735,0.642273678525619,2,1748.92262953155,0.593152206599854,2
short dress,4,77,951.877424363966,0.642249130063887,2,1780.30006626674,0.643304713918364,2
short skirt,4,101,951.731386694578,0.641954548523103,2,1734.33303681931,0.569874127762469,2
accent lighting,4,152,951.141545546682,0.6407639481291,2,1737.33140804893,0.574569021068717,2
town,3,56,951.022117614746,0.640561423319811,2,1876.67781938825,0.768004762401576,3
professional majestic (photography by steve mccurry),11,51,950.703222536573,0.640021357161707,2,1735.0107828776,0.57085606623175,2
2k wallpaper,5,172,950.201363319574,0.639113064077622,2,1756.56226898903,0.606119931509792,2
cinematography,3,52,950.080221322867,0.638873716575735,2,1774.76346998948,0.634743437889323,2
pearl,3,242,950.064581878914,0.638861442344869,2,1735.30313791322,0.571267252965761,2
atmospheric lighting,4,154,950.032129659281,0.638800071190539,2,1765.98348364892,0.621407486053405,2
commentary request,4,58,950.024333033068,0.63878165984424,2,1787.26655946929,0.653799181308801,2
mountains,3,185,949.902025047509,0.638572997919518,2,1820.88951547984,0.701773012648595,2
h. r. giger style,9,67,949.813721158611,0.638382747341095,2,1700.35283603953,0.511534708456331,2
miniskirt,5,373,949.774969678782,0.638284553494167,2,1744.12323096227,0.585431715385135,2
64k,5,60,949.736857604981,0.63822931945527,2,1766.92974446615,0.622819022602996,2
all fours,5,167,949.706028738422,0.638137262723775,2,1760.42089514818,0.612281595404528,2
sleeveless dress,4,133,949.677781642828,0.638075891569445,2,1755.05787876674,0.603658948221157,2
extremely detailed background,5,77,949.641703023539,0.638032931761414,2,1765.18963940113,0.620081869119876,2
knight,3,75,949.590723470052,0.637910189452754,2,1810.06356526693,0.686982564455055,2
detailed cafe,4,54,949.306241635923,0.637376260410082,2,1830.19666883681,0.713838581589881,2
white sleeves,4,52,949.208515460675,0.637241243870556,2,1730.13028188852,0.56258323462806,2
white skin,4,378,949.13264594507,0.637130775792762,2,1699.33560277545,0.509644476902966,2
penis,4,1486,949.112282415418,0.637069404638432,2,1798.62919631075,0.67048599817114,2
horizon,3,101,948.645045063283,0.636191797131512,2,1755.54347697343,0.604493595920046,2
mountain,3,277,948.546058627242,0.635976998091357,2,1778.75061475843,0.640892827553193,2
(full body:1.5),10,54,948.265498973705,0.635436931933253,2,1745.67055031105,0.588070675021327,2
huge filesize,5,641,948.06333240146,0.63512393904617,2,1717.11346083238,0.54027482002909,2
vignette,4,116,947.865416954304,0.634743437889323,2,1745.38523391197,0.58769017386448,2
stand,3,50,947.524505615234,0.634142000576889,2,1816.85284912109,0.696310979913221,2
solo_focus,5,92,947.51532347306,0.634117452115157,2,1746.5258205248,0.589353332146824,2
steps: 27,6,54,947.395686396846,0.633829007689806,2,1774.88945402922,0.634890728659715,2
masterwork,4,87,947.271673443674,0.633595797303352,2,1802.93867720681,0.677028163222722,2
tentacle pit,5,73,947.247130093509,0.633546700379888,2,1827.54603722977,0.710530676371492,2
off-shoulder dress,6,63,947.225363110739,0.633509877687289,2,1791.99100361173,0.660869138287622,2
volumetric light,5,159,947.011795715716,0.633098690953278,2,1759.13879970335,0.610225661734472,2
beautiful art style,5,77,946.872909149566,0.632724326911865,2,1791.03644670759,0.659500561546062,2
1 boy,4,52,946.670477060171,0.632251769023524,2,1748.40848952073,0.59234824447813,2
groin,4,147,946.622479081965,0.63214130094573,2,1748.2046828497,0.592133445437975,2
sun,3,456,946.549084780509,0.631975598829038,2,1779.62321418628,0.642206170255856,2
neckerchief,5,66,946.101684917103,0.631128676899284,2,1729.79712283973,0.56209226539342,2
golden hour,4,142,945.96347690636,0.630815684012201,2,1812.6122720208,0.690505268713599,2
dark atmosphere,4,147,945.957802078351,0.63077272420417,2,1720.09770275298,0.545657070263835,2
formal,3,87,945.709978476338,0.630294029200395,2,1717.02221258755,0.540053883873502,2
debris,3,50,945.678792724609,0.630195835353467,2,1731.22704101563,0.56452256310489,2
sunset,3,650,945.55016005296,0.629944213620714,2,1801.72350078876,0.675094971861326,2
strong,3,65,945.400867403471,0.629655769195363,2,1725.13741642879,0.554193797831143,2
explosions,3,96,945.34899075826,0.629539164002136,2,1845.70249048869,0.732783856931565,2
technological sense,4,93,944.955337688487,0.628618596687185,2,1742.11750711421,0.582375431899499,2
dark fantasy,4,74,944.880057257575,0.62852653995569,2,1792.13367688978,0.661040977519746,2
unity,3,838,944.866893431452,0.628501991493958,2,1796.43455232242,0.667589279686762,2
sunshine,3,153,944.680806976518,0.628084667644514,2,1759.82335308798,0.611354890974144,2
((((cinematic look)))),7,62,944.568753150202,0.627833045911761,2,1773.28042602539,0.632564761910607,2
(cinematic composition:1.3),10,60,944.455500284831,0.627661206679636,2,1735.84558919271,0.572150997588114,2
blurry_foreground,5,77,943.983012806286,0.626777462057284,2,1763.45295061384,0.617418361021953,2
bed sheet,4,62,943.952272476689,0.62666699397949,2,1720.9010797316,0.546939727389333,2
bare arms,4,129,943.916667139807,0.626611759940593,2,1758.06887320585,0.608470446720632,2
battlefield,3,81,943.912641360436,0.62660562282516,2,1724.26911153911,0.552843632435883,2
((official art)),6,182,943.898870614859,0.626568800132562,2,1778.27638496147,0.640223881970996,2
ray-tracing,5,55,943.824205988104,0.626446057823902,2,1789.88982266513,0.657708523839625,2
pelvic curtain,4,211,943.808565257285,0.626415372246737,2,1734.03868009016,0.569370884296963,2
night time,4,130,943.683479426457,0.626206710322015,2,1716.17211350661,0.538617798862179,2
weapon,3,360,943.536235851712,0.625991911281859,2,1803.11616465251,0.67724909937831,2
epic lighting,4,91,943.491594587054,0.625887580319498,2,1795.56908643115,0.666245251406934,2
rococo,4,64,943.283475875855,0.62542115954659,2,1868.65774059296,0.759007751176792,3
((solo)),5,176,943.129885933616,0.625163400698404,2,1778.40050142462,0.640389584087687,2
(cinematic lighting),6,513,943.04616618017,0.625022247043445,2,1776.98022068314,0.63847480407259,2
hdr (high dynamic range),8,98,943.035944101762,0.624985424350847,2,1696.37393998127,0.504495437054676,2
